date,temperature_avg_C,temperature_min_C,temperature_max_C
2010-07-16,21.236327332459382,17.31852023426228,25.476333718898104
2010-07-17,21.17051238570417,17.288388796254537,25.29653723039138
2010-07-18,21.289618014637313,17.18496508983702,25.52945401518008
2010-07-19,20.886572398526255,17.20595417024998,24.896859077577403
2010-07-20,20.38975214173098,17.18061009997251,24.177740979468354
2010-07-21,20.180093293509856,17.150062136931638,23.935606889738892
2010-07-22,20.011769437901535,17.00533893744256,23.672360715669072
2010-07-23,20.4395961508464,16.99438693568078,24.305075106507218
2010-07-24,20.497138572533686,17.20923863005578,24.227271437035597
2010-07-25,20.348117963906873,17.210418990769767,23.94431253186491
2010-07-26,20.06192620933075,17.067671420764725,23.560947630574276
2010-07-27,19.97603404163914,16.94060564650306,23.565932168761435
2010-07-28,20.011412140873745,16.96870072521307,23.629065530356286
2010-07-29,20.052078624068486,16.900436270719524,23.796535079322666
2010-07-30,20.020792704416408,16.859526388256597,23.769488939875373
2010-07-31,20.101890579191718,16.832603108367437,23.93086595247837
2010-08-01,20.045887972455944,16.812581282981796,23.776869681949563
2010-08-02,19.921500800695526,16.931873546183567,23.568124928111047
2010-08-03,19.59157364517756,16.87431821345109,23.01438380977214
2010-08-04,19.668635168401806,16.763690691685326,23.17202808530061
2010-08-05,20.110493230443524,16.740854687195394,23.932187204965373
2010-08-06,20.24788748341632,16.9120499550487,23.985652647255108
2010-08-07,20.335881751604063,17.007517014116218,24.096848185490444
2010-08-08,20.463623645323878,17.10335118805665,24.26845655430418
2010-08-09,20.66107139231258,17.330820007064574,24.569761186345033
2010-08-10,20.665882809736672,17.414230074418867,24.6865105349288
2010-08-11,20.573350187015535,17.37999998943087,24.48543188091412
2010-08-12,20.27534584214459,17.222165393414514,24.15267857904928
2010-08-13,19.897168130384443,16.986862301269696,23.619072930675827
2010-08-14,20.099107437988266,16.935632978667456,23.890494589823902
2010-08-15,20.306317053363955,17.135902431367526,24.211666209465932
2010-08-16,20.19311398757071,17.247474801764895,23.975077509101993
2010-08-17,20.113244047139744,17.252972805876823,23.707640625401666
2010-08-18,20.00357279016572,17.155968021677552,23.50842895402684
2010-08-19,19.9793906138313,17.014319764762263,23.67181194374973
2010-08-20,19.556165032072045,16.73096994930546,23.127873450116397
2010-08-21,19.3418841694197,16.486328481798694,22.961634814565286
2010-08-22,19.210577632535603,16.21644912579086,22.81966448238785
2010-08-23,19.24200339025117,15.983131717561378,23.024840517124176
2010-08-24,19.21817343059729,15.986496662200977,22.98775980704505
2010-08-25,19.087376375970905,15.95466682691034,22.87967097008726
2010-08-26,19.300552603199776,15.986376449601892,23.176924219823718
2010-08-27,19.87340722220455,16.141955818671022,24.036812005135914
2010-08-28,19.97365260366894,16.436492995479682,24.10688570204917
2010-08-29,19.76699375394992,16.331886408712535,23.750777919767813
2010-08-30,19.42681175341187,16.103357364608883,23.237963357828107
