system:index,country,country_code,deaths,displaced_people,event_id,gfd_country_name,glide_index,latitude,longitude,main_cause,other_country,primary_country,severity,validation_type,.geo
DFO_3312_From_20080524_to_20080528,"China, India, Myanmar (Burma), Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",0.0,0.0,3312.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",NA,26.399977,93.754969,Heavy rain,NA,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3327_From_20080705_to_20080714,"China, India, Myanmar (Burma), Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",350.0,70000.0,3327.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,25.241123,90.120056,Monsoon Rain,,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3338_From_20080720_to_20080808,"China, India, Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",142.0,225000.0,3338.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",,27.49945,89.78715,monsoonal rainfall,,India,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3356_From_20080805_to_20080811,India,['IN'],74.0,0.0,3356.0,['INDIA'],NA,16.652289,81.380061,Heavy monsoon rains,NA,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3359_From_20080809_to_20080820,"China, India, Pakistan, Afghanistan","['IN', 'CH', 'AF', 'PK', 'UU', 'NP']",37.0,90752.0,3359.0,"['INDIA', 'CHINA', 'AFGHANISTAN', 'PAKISTAN', 'In dispute CHINA/INDIA', 'NEPAL']",FL-2008-000131-LAO,30.738475,72.634688,Heavy monsoon rains,,Pakistan,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3365_From_20080818_to_20080924,"China, India, Nepal, Bangladesh, Bhutan","['BG', 'IN', 'CH', 'BT', 'UU', 'NP']",400.0,1.0E7,3365.0,"['BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,26.950613,84.923215,Heavy monsoon rains,,Nepal,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3371_From_20080830_to_20080908,"China, India, Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",0.0,600000.0,3371.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,25.028785,90.210026,Monsoon Rains,NA,Bangladesh,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3372_From_20080830_to_20080908,"China, India, Myanmar (Burma), Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",900.0,1000000.0,3372.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",NA,27.044183,94.55033,Monsoon Rains,NA,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3382_From_20080922_to_20080929,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'NP']",2400.0,0.0,3382.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,20.95224,84.406372,Dam release and Heavy  Rain,NA,India,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3383_From_20080922_to_20080929,"China, India, Pakistan, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'PK', 'NP']",49.0,13000.0,3383.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'PAKISTAN', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,30.521816,78.938377,Monsoonal Rain,,Nepal,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3485_From_20090420_to_20090515,"India, Bangladesh","['BG', 'IN']",21.0,15000.0,3485.0,"['BANGLADESH', 'INDIA']",,22.163962,89.086148,Heavy Rain,NA,Bangladesh,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3495_From_20090703_to_20090706,"China, India, Nepal, Bangladesh","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",20.0,700000.0,3495.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",FL-2009-000123-BGD,25.256217,89.086147,Torrential Rain,NA,Bangladesh,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3496_From_20090703_to_20090706,"China, India, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",6.0,0.0,3496.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",FL-2009-000122-IND,27.481004,93.821488,Torrential Rain,NA,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3530_From_20090818_to_20090827,"China, India, Myanmar (Burma), Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",0.0,300000.0,3530.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",NA,26.817651,94.142952,Monsoon Rain,NA,India,1.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3551_From_20090925_to_20091012,India,['IN'],303.0,0.0,3551.0,['INDIA'],FL-2009-000217-IND,15.708107,78.232999,Heavy Rain,NA,India,2.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
