event_id,start_date,end_date,latitude,longitude,severity,deaths,displaced_people,main_cause,primary_country,validation_type
3652.0,2010-05-18,2010-05-24,15.21825,79.484382,1.0,27.0,50000.0,Heavy rain,India,0
3658.0,2010-06-06,2010-06-07,25.117454,67.905172,1.0,23.0,4000.0,Tropical Cyclone Phet,Pakistan,0
3662.0,2010-06-15,2010-06-26,22.280362,94.010494,1.0,60.0,0.0,Monsoonal Rain,Myanmar,0
3674.0,2010-07-05,2010-07-15,30.18952,74.778484,1.0,98.0,523000.0,Monsoonal Rain,India,0
3679.0,2010-07-01,2010-07-13,23.994863,90.035505,1.0,0.0,600000.0,Monsoonal Rain,Bangladesh,0
3696.0,2010-07-27,2010-11-15,33.363388,73.257885,2.0,1750.0,10000000.0,Monsoonal Rain,Pakistan,News
3713.0,2010-09-05,2010-09-17,26.234999,92.250001,1.5,1.0,30000.0,Torrential Rains,Inda,News
3716.0,2010-09-09,2010-09-30,25.424999,89.640001,1.5,0.0,140000.0,Monsoon Rains,Bangladesh,News
3717.0,2010-09-18,2010-09-30,26.729999,82.845001,1.5,88.0,15000.0,Monsoon Rains,India,News
3732.0,2010-10-01,2010-10-12,24.209999,91.035001,1.5,15.0,500000.0,Heavy Rain and Storm Surge,Bangladesh,News
3843.0,2011-07-21,2011-07-29,22.564135,89.046349,1.5,6.0,10000.0,Monsoonal Rain,Bangladesh,News
3854.0,2011-08-15,2011-10-02,26.375467,86.242215,2.0,158.0,70000.0,Monsoonal Rain,India,News
3856.0,2011-08-15,2011-09-08,26.589671,92.181547,1.5,7.0,11000.0,Monsoonal Rain,India,News
3857.0,2011-08-12,2011-11-01,25.012345,69.066891,1.5,434.0,660000.0,Monsoonal Rain,Pakistan,News
3864.0,2011-08-25,2011-09-13,22.30208,73.953105,1.5,0.0,5000.0,Monsoonal Rain,India,News
3866.0,2011-09-05,2011-10-02,20.651119,86.002162,1.5,40.0,15000.0,Monsoonal Rain,India,News
3960.0,2012-08-03,2012-08-06,19.439848,82.321565,1.0,0.0,2000.0,Monsoonal Rain,India,News
3966.0,2012-08-16,2012-08-20,20.985523,82.796221,1.0,1.0,210.0,Monsoonal Rain,India,News
3974.0,2012-08-23,2012-08-29,35.030504,73.522165,1.5,26.0,1200.0,Monsoonal Rain,Pakistan,News
3983.0,2012-09-16,2012-09-18,31.306274,76.85692,2.0,45.0,200.0,Torrential Rain,India,News
3984.0,2012-09-10,2012-10-29,28.044522,68.775576,1.5,400.0,742000.0,Monsoonal Rain,Pakistan,News
4001.0,2012-11-04,2012-11-08,11.828347,78.804243,2.0,40.0,70000.0,Tropical Storm Nilam,India,News
4078.0,2013-08-01,2013-08-07,32.814392,70.637704,1.5,135.0,81000.0,Heavy Rain,Pakistan,News
4082.0,2013-08-07,2013-08-21,28.740393,69.106502,1.5,70.0,12000.0,"Monsoon Rain, began with #4078",Pakistan,News
4098.0,2013-10-12,2013-11-10,24.717423,85.932081,1.5,7.0,0.0,Heavy Rain,India,News
4154.0,2014-06-23,2014-06-25,27.811455,94.716023,1.0,0.0,10000.0,Monsoonal Ran,India,News
