date,rainfall_mm,runoff_m,sub_surface_runoff_m,surface_runoff_m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,dewpoint_C,dewpoint_max_C,dewpoint_min_C,surface_pressure_hPa,surface_pressure_max_hPa,surface_pressure_min_hPa,temperature_avg_C,temperature_min_C,temperature_max_C,total_evaporation_m,u_component_of_wind_10m,v_component_of_wind_10m,wind_speed_ms
2017-06-08,4.209882841645708,0.0010969074454346,0.00046031482681360713,0.0006365925491664834,0.285619476061027,0.2749640705370596,0.2700655550205925,0.3159279846529593,11.889522409501454,13.99107695788852,9.41114292626932,826.6866845206313,828.4872150608754,824.5206925327624,19.35872665032321,14.752880136356625,24.04141304534096,0.0022304228165821,0.9452867044483356,0.0755135947760459,1.8587702581959724
2017-06-09,4.402179408120229,0.0011442944452756,0.0004641097784011656,0.0006801846570444475,0.2879910747386193,0.2778343180386283,0.2704034174107372,0.3159206301490157,11.928797248494636,13.95876840009907,9.494784446162424,825.8824073787201,827.4378175755176,823.8603125047129,19.480400759111543,14.888946084099471,24.0480178546228,0.0022708778648583,0.5618297040247187,0.2734517782135621,1.793561543533988
2017-06-10,4.897330863970537,0.0015232802932445,0.0006180320275964086,0.0009052480791309544,0.2920614987346294,0.2820838625946278,0.2712462306648238,0.3159769214987817,12.018101357837814,14.148239310139116,9.68858413336332,825.1282308504941,826.7016962807614,823.2104911012794,19.65685489107369,15.331963821736167,24.366685870761785,0.00223814661337,0.5696770647760268,0.4074773189003263,1.8399837601758664
2017-06-11,6.31641965015029,0.0020261379635179,0.0007567703533643325,0.001269367523944,0.2940287224981604,0.2879190938907292,0.2729738426813388,0.3161446028574736,12.102069985569004,14.180509762963403,9.912402217320317,824.799812393099,826.2343375917418,823.0222295645492,19.71493051511601,15.36033508056829,24.16781744377795,0.0021679303966186,0.5997343229587268,0.4552291105643636,1.782952993041452
2017-06-12,7.684832798785128,0.0031961663258849,0.0011203287735896,0.0020758374462368,0.2937337363433364,0.2931892979477506,0.275665493160077,0.3164306129262226,12.026630776067686,14.21253064746006,9.73244519045666,824.3381856877136,825.8554016758102,822.446531317499,19.95539171800777,15.58629055176732,24.518912674774697,0.0020781419720215,0.8642255236816424,0.4300958261528095,2.019264055339809
2017-06-13,5.044845824526598,0.0032290221610704,0.0012357715469786,0.0019932500262239,0.2904761943713015,0.2951964918946496,0.2780138890800687,0.3168846644068664,12.149906301471765,14.222877652204344,9.953612249786298,825.2261998370897,826.6122547644991,823.4929262350122,20.29739134852849,15.876375851046646,24.77400967383164,0.0020175294930027,0.7484864780356943,0.4932868792430299,2.0498239467810837
2017-06-14,2.950922600568404,0.0023544410076275,0.0008980738687547788,0.0014563669529534,0.2881130758577604,0.2957536558723311,0.2794815335045923,0.3172741898272873,12.367833022488323,14.54479192111126,10.039221894777778,826.8688573855784,828.1398506655918,825.1967538792499,20.638435211613118,16.11816573527807,25.37691526506848,0.0020494642166351,0.6721232741310081,0.5036509724890118,2.0503468866475982
2017-06-15,3.233227009124023,0.0020794781818432,0.0008332154793768132,0.0012462623911253,0.28964992882224,0.2960582057548875,0.2804686088385907,0.3175811704237752,12.565546725031837,14.617744766184847,10.482215159244843,826.451675545986,828.1221324277132,824.5649922468556,20.536246301810426,16.170642926845574,25.31262658575412,0.002145429927353,0.6464155075954856,0.5586035270106772,2.1168972976728018
2017-06-16,4.626047619144139,0.0025357598744808,0.0011460435147288,0.0013897159414904,0.293347287762872,0.2988330953903813,0.2819390570602954,0.3179061923774546,12.784693810056762,14.62506913506458,10.768553463984611,826.162067514964,827.477063131147,824.5558744708975,20.158606759712484,16.054779482931963,24.61896080490345,0.0019811335527298,0.6587942871301278,0.718142824445227,2.202535027460934
2017-06-17,5.182749838637943,0.0025944956759801,0.0013581403442789,0.0012363552386099,0.2926575860224367,0.299039937322696,0.2828111128783956,0.3182540408300658,12.847986982087605,14.784337270480886,10.862232401952898,825.8574965178924,827.3014815461308,824.1570595566259,20.25959791763563,15.884054439582314,24.794393031828637,0.002144554985766,0.8948391419034574,0.4249638134547177,2.0805922400592807
2017-06-18,5.183030252580329,0.002549836893945,0.0011700142732229,0.0013798226794921,0.2923628981527472,0.2987269121949396,0.2832928349788272,0.3185359804799469,12.874446873900112,14.809009810211135,10.849100988746542,825.4853366665468,827.001340671753,823.7674690185232,20.34737701661328,15.835016422455112,24.91610515931518,0.002274431756491,1.043190651618782,0.3202056509465975,2.133649960783917
2017-06-19,6.304994856162251,0.0033807655677958,0.0014580174359648,0.0019227479575888,0.2952496560599401,0.299916321371227,0.2844238914202379,0.3188509190429759,12.967029586935425,14.870659690810468,10.835067211874437,824.7901309925062,826.2501906864276,823.0288611641978,20.2418902912878,15.824653828295425,24.72594941742329,0.002201500401799,0.8941675048692371,0.5945484437048509,2.191437882086968
2017-06-20,5.368604860797861,0.0028778129406497,0.0013680795237249,0.0015097333439603,0.3057110154535019,0.3018886414601957,0.2854217356547546,0.3192146464480773,13.507948379146493,15.329199789988984,11.59611991152978,824.4813567565047,825.8738193054273,822.7701532242567,19.82783544294705,15.902603032093282,24.2072858652586,0.00220003836438,0.9206917225740008,0.7690256665431976,2.116874783418452
2017-06-21,5.398590862898224,0.0024119014480047,0.0011198763460458,0.0012920250700798,0.3153286733581994,0.3060021358694824,0.2861344877699979,0.3195322962054105,13.797188541198183,15.460554457278905,12.068282891342928,824.6983387612198,826.0884617158869,823.0416167010758,19.510074059740877,15.946969070320163,23.64229343194353,0.0023125406493737,0.918431003070765,0.7395519085649067,2.1818709284315214
2017-06-22,4.151409473545928,0.0021223664791958,0.0010486842867978,0.0010736821221371,0.3159786509610015,0.3086055033343972,0.2869661771865079,0.3197846686561363,13.950821353062825,15.71605147476305,12.099229075298895,825.5615824289969,827.0945469256523,823.7572009538088,19.816861186621168,15.830273635982053,24.218424873694172,0.0024863709331358,1.0177058258118843,0.6619307412038326,2.1026758524521028
2017-06-23,4.361362239845703,0.0018818803443757,0.0010071178454003,0.0008747622928884628,0.3132580587667439,0.3092861894175583,0.2878389387639292,0.3200203200518748,13.8138040348229,15.736003147623949,11.816626846839544,825.6132826655532,827.328600187291,823.7420985698432,19.96915030866245,15.625267810528214,24.38805462922363,0.0025700477715849,1.059524902259514,0.2143714490553425,1.970050388199156
2017-06-24,4.3723404134133865,0.0019278629338501,0.000948261320440267,0.0009796016483397563,0.3116619012616232,0.3097350375632283,0.2887111037024519,0.3202182002822691,13.630849667829196,15.46396227829688,11.699425937387728,824.6819684288118,826.2678473624031,822.7355773064846,20.108728236025968,15.738356482080237,24.598309532595977,0.002576513777874,0.701122458765583,0.2849959972197704,1.8852641901822569
2017-06-25,4.909219736810308,0.0021220238235378,0.0009980145807943674,0.0011240095205023,0.3124358795024131,0.3112726880157296,0.2899753781719788,0.3204188382686644,13.886277430208237,15.841770802467954,11.817475771801416,824.828502002392,826.3224411859003,822.9069161780038,20.455235900725427,16.023851419400387,24.898192269376693,0.0025304409524853,0.2728995909605934,0.6064062877534075,1.7814668034581935
2017-06-26,4.956036230925658,0.0024864887368812,0.0011430749368288,0.0013434136027292,0.3145057393195195,0.3145844691729833,0.2912320852879867,0.3206444505317566,14.42823335246473,16.226213910297325,12.532773688168072,825.7840327347576,827.2465281090707,823.9758867643134,20.785487637014057,16.55070213635264,25.18603991960771,0.0025878834478567,0.3327505335661493,0.6256379997494135,1.843022189383141
2017-06-27,6.827318236618977,0.0023444648600026,0.0011545302049068,0.0011899346582428,0.319590470551055,0.3173777773806349,0.2926112301649048,0.3208906615085409,14.923275744475546,16.55184469987376,13.249148056095155,825.8156272670096,827.1733159881559,824.1030205917953,20.51868097333784,16.57887818331284,24.863992602287,0.0025959963883765,0.3184119872397281,0.5719396594572543,1.886555380868071
2017-06-28,10.064410419750256,0.0025191392481751,0.0011436824744943,0.0013754566371128,0.3357599730021812,0.3226386984790334,0.2940958790948876,0.3211401903772131,15.34588466385809,16.905800249552662,13.738911676781758,825.8149283213502,827.012080746232,824.293543886708,19.94359016885437,16.62073186607347,23.842150143416973,0.0025660457961703,0.1973942884887926,0.6707718276986844,1.9771453171459228
2017-06-29,9.90004822395803,0.002755150640214,0.0011615535730235,0.0015935970801229,0.3456793629024534,0.330858219297288,0.2958201982076929,0.3214072532083407,15.413015371820936,16.93346997313842,14.028667296536728,824.9175229804462,826.5406543618828,823.1475404978517,20.025822705154383,16.848954831656386,23.870514769231875,0.0027166271684406,0.488988033295856,0.7090385078721312,2.0608709724164678
2017-06-30,11.353141527892504,0.003485278006523,0.0015081279314781,0.0019771499621283,0.3491799397714219,0.3390965686610575,0.2979053863797271,0.3217127949968592,15.36024024690144,16.885752975773936,13.881990336243092,823.7056000710655,825.0267162060785,822.0625831908505,20.02138710120204,16.867758994492817,23.849933980243748,0.0026356528610247,0.8375295937031787,0.7682627548266819,2.1274219384604174
2017-07-01,10.79344900387174,0.0040494288194801,0.0017427709270024,0.0023066577448638,0.3496377526317851,0.3454069049039041,0.3003998719671606,0.3220534165444073,15.284008725951091,16.867896500668007,13.821432876097806,823.687293569585,824.9801166814541,821.9816632694652,20.060614863584306,16.838863948129813,23.90178801072858,0.0026074684568326,0.9844145168976964,0.6261494132990657,2.150941874009595
2017-07-02,7.011491361323076,0.0035252806025823,0.0016852268235132,0.0018400539037317,0.3479614044386315,0.3494797148543047,0.303562205799441,0.3224047616764036,14.884906623412672,16.424289598313834,13.38524232698424,824.6519516017447,826.0552762986853,823.1668152913344,19.946424090524715,16.71594559396999,23.68724153299684,0.0025385555392028,0.7147504751202046,0.667728592644814,2.2357455218129125
2017-07-03,9.412743876719851,0.0036008393377371,0.0017386645319669,0.0018621747423093,0.3453686321383787,0.3505031036081696,0.3064891783464671,0.3227700433069105,15.028780541187388,16.568058899998213,13.52677881949969,824.7869828015623,826.146500589087,823.2043936676696,20.113870040807228,16.921445944461084,23.82691857106812,0.0024828416545105,1.120859619652382,0.7742915335581778,2.3905571875977545
