,count,mean,min,25%,50%,75%,max,std
season,6940.0,2.420893371757925,1.0,2.0,3.0,3.0,4.0,1.035441308399929
monsoon_indicator,6940.0,0.3340057636887608,0.0,0.0,0.0,1.0,1.0,0.471675705178836
rainfall_lag1,6939.0,2.714593441121089,0.0020109316104576,0.4218842448312409,1.394531338144066,4.527506764646119,15.130785687892612,2.8843170184430518
rainfall_lag2,6938.0,2.7149794714934914,0.0020109316104576,0.4223487474262679,1.3950236879882094,4.527765714936639,15.130785687892612,2.8843456329757364
rainfall_lag3,6937.0,2.715357492867379,0.0020109316104576,0.4227636798230263,1.3955160378323528,4.52802466522716,15.130785687892612,2.8843816677972063
runoff_lag1,6939.0,0.001361010054295156,0.0001474091786066,0.00030680315970959995,0.0007702944408972,0.0022947185108946498,0.0073736190570035,0.0012954120523010124
runoff_lag2,6938.0,0.0013611724016765697,0.0001474091786066,0.000306833436477625,0.0007705425582530999,0.002295085290883425,0.0073736190570035,0.0012954348206524822
runoff_lag3,6937.0,0.001361334361628633,0.0001474091786066,0.0003069037435681,0.000770790675609,0.0022954520708722,0.0073736190570035,0.0012954579520262947
temperature_max_lag1,6939.0,20.120918019886265,8.481172506405187,16.061836684493784,21.81276154494617,23.965630954324155,28.546068846461537,4.654084135332797
temperature_max_lag2,6938.0,20.12220017755156,8.481172506405187,16.063767116712015,21.812784833878453,23.965699902182322,28.546068846461537,4.6531938209342405
temperature_max_lag3,6937.0,20.12365637385753,8.481172506405187,16.06571640582456,21.812808122810736,23.96576885004049,28.546068846461537,4.651948005557032
surface_pressure_lag1,6939.0,828.5873888556855,819.4275878392226,826.3305617491994,828.5685613764483,830.8028460617289,836.4837358531198,2.898487802059101
surface_pressure_lag2,6938.0,828.5865375264907,819.4275878392226,826.3304673039672,828.5678625554148,830.8024260539635,836.4837358531198,2.8978289752832933
surface_pressure_lag3,6937.0,828.5858958930218,819.4275878392226,826.330372858735,828.5671637343812,830.8021213682067,836.4837358531198,2.897544948446442
soil_moisture_layer_1_lag1,6939.0,0.25719586144731693,0.1852020097148,0.21336721079748566,0.2357908087933503,0.3050907599769162,0.3834588547713576,0.05195654871276706
soil_moisture_layer_1_lag2,6938.0,0.25720071565031105,0.1852020097148,0.21336657433657563,0.2358154667245732,0.30509358843474454,0.3834588547713576,0.051958719842120464
soil_moisture_layer_1_lag3,6937.0,0.2572053489790246,0.1852020097148,0.2133659378756656,0.2358401246557961,0.3050964168925729,0.3834588547713576,0.0519610318830552
